,epoch,accuracy,loss,precision,recall,f1
0,0,0.006950880444856348,4.351477033951703,0.6596088804809798,0.006950880444856348,0.006950880444856348
1,1,0.3614457831325301,3.914482635610244,0.7691972710117578,0.3614457831325301,0.3614457831325301
2,2,0.3614457831325301,3.3050687313079834,0.7691972710117578,0.3614457831325301,0.3614457831325301
3,3,0.3614457831325301,2.8124417978174545,0.7691972710117578,0.3614457831325301,0.3614457831325301
4,4,0.3614457831325301,2.720857059254366,0.7691972710117578,0.3614457831325301,0.3614457831325301
5,5,0.3614457831325301,2.6635452298557056,0.7691972710117578,0.3614457831325301,0.3614457831325301
6,6,0.3614457831325301,2.618584997513715,0.7691972710117578,0.3614457831325301,0.3614457831325301
7,7,0.3614457831325301,2.5852585119359635,0.7691972710117578,0.3614457831325301,0.3614457831325301
8,8,0.3614457831325301,2.5616879322949577,0.7691972710117578,0.3614457831325301,0.3614457831325301
9,9,0.3614457831325301,2.5451235630932976,0.7691972710117578,0.3614457831325301,0.3614457831325301
10,10,0.3614457831325301,2.5335785641389736,0.7691972710117578,0.3614457831325301,0.3614457831325301
11,11,0.3614457831325301,2.5229815034305347,0.7691972710117578,0.3614457831325301,0.3614457831325301
12,12,0.3614457831325301,2.5150125166949104,0.7691972710117578,0.3614457831325301,0.3614457831325301
13,13,0.3614457831325301,2.5077679437749527,0.7691972710117578,0.3614457831325301,0.3614457831325301
14,14,0.3614457831325301,2.5014567375183105,0.7691972710117578,0.3614457831325301,0.3614457831325301
15,15,0.3614457831325301,2.495147424585679,0.7691972710117578,0.3614457831325301,0.3614457831325301
16,16,0.3614457831325301,2.4897897103253532,0.7691972710117578,0.3614457831325301,0.3614457831325301
17,17,0.3614457831325301,2.4838594128103817,0.7691972710117578,0.3614457831325301,0.3614457831325301
18,18,0.3614457831325301,2.4769026531892666,0.7691972710117578,0.3614457831325301,0.3614457831325301
19,19,0.3614457831325301,2.4695715343250946,0.7691972710117578,0.3614457831325301,0.3614457831325301
20,20,0.3614457831325301,2.46090591655058,0.7691972710117578,0.3614457831325301,0.3614457831325301
21,21,0.3614457831325301,2.450025796890259,0.5519269761188759,0.3614457831325301,0.3614457831325301
22,22,0.3614457831325301,2.437076484455782,0.5519269761188759,0.3614457831325301,0.3614457831325301
23,23,0.3632993512511585,2.4178231884451473,0.5833447106290913,0.3632993512511585,0.3632993512511585
24,24,0.3850787766450417,2.3962731641881607,0.6194215296167408,0.3850787766450417,0.3850787766450417
